"Response number","Vote for the student council party"
662,"- Not endorse (ไม่รับรอง)"
663,"- Endorse (รับรอง)"
664,"- No vote (ไม่ประสงค์ลงคะเเนน)"
665,"- Not endorse (ไม่รับรอง)"
666,"- Endorse (รับรอง)"
667,"- No vote (ไม่ประสงค์ลงคะเเนน)"
668,"- No vote (ไม่ประสงค์ลงคะเเนน)"
669,"- Endorse (รับรอง)"
670,"- Endorse (รับรอง)"
671,"- No vote (ไม่ประสงค์ลงคะเเนน)"
672,"- Endorse (รับรอง)"
673,"- Endorse (รับรอง)"
674,"- Not endorse (ไม่รับรอง)"
675,"- Endorse (รับรอง)"
676,"- Not endorse (ไม่รับรอง)"
677,"- No vote (ไม่ประสงค์ลงคะเเนน)"
678,"- Endorse (รับรอง)"
679,"- Endorse (รับรอง)"
680,"- Endorse (รับรอง)"
681,"- Endorse (รับรอง)"
682,"- Endorse (รับรอง)"
683,"- No vote (ไม่ประสงค์ลงคะเเนน)"
684,"- No vote (ไม่ประสงค์ลงคะเเนน)"
685,"- Not endorse (ไม่รับรอง)"
