"Response number","Vote for the student council party"
226,"- Endorse (รับรอง)"
227,"- Endorse (รับรอง)"
228,"- Endorse (รับรอง)"
229,"- Endorse (รับรอง)"
230,"- Endorse (รับรอง)"
231,"- Endorse (รับรอง)"
232,"- Endorse (รับรอง)"
233,"- No vote (ไม่ประสงค์ลงคะเเนน)"
234,"- Endorse (รับรอง)"
235,"- Not endorse (ไม่รับรอง)"
236,"- No vote (ไม่ประสงค์ลงคะเเนน)"
237,"- Endorse (รับรอง)"
238,"- Endorse (รับรอง)"
239,"- Endorse (รับรอง)"
240,"- Endorse (รับรอง)"
241,"- Endorse (รับรอง)"
242,"- Endorse (รับรอง)"
243,"- Endorse (รับรอง)"
244,"- Endorse (รับรอง)"
245,"- Endorse (รับรอง)"
246,"- Endorse (รับรอง)"
247,"- Endorse (รับรอง)"
248,"- Endorse (รับรอง)"
249,"- Endorse (รับรอง)"
250,"- No vote (ไม่ประสงค์ลงคะเเนน)"
251,"- Endorse (รับรอง)"
252,"- Endorse (รับรอง)"
253,"- Endorse (รับรอง)"
254,"- Endorse (รับรอง)"
255,"- Endorse (รับรอง)"
256,"- Endorse (รับรอง)"
257,"- Endorse (รับรอง)"
258,"- Endorse (รับรอง)"
259,"- Endorse (รับรอง)"
260,"- Endorse (รับรอง)"
261,"- Not endorse (ไม่รับรอง)"
262,"- Endorse (รับรอง)"
263,"- Endorse (รับรอง)"
264,"- Endorse (รับรอง)"
265,"- Endorse (รับรอง)"
266,"- Endorse (รับรอง)"
267,"- Endorse (รับรอง)"
268,"- Endorse (รับรอง)"
269,"- Endorse (รับรอง)"
270,"- Endorse (รับรอง)"
271,"- No vote (ไม่ประสงค์ลงคะเเนน)"
272,"- Endorse (รับรอง)"
273,"- Endorse (รับรอง)"
274,"- Endorse (รับรอง)"
275,"- No vote (ไม่ประสงค์ลงคะเเนน)"
276,"- Endorse (รับรอง)"
277,"- Not endorse (ไม่รับรอง)"
278,"- Endorse (รับรอง)"
279,"- No vote (ไม่ประสงค์ลงคะเเนน)"
280,"- Endorse (รับรอง)"
281,"- Endorse (รับรอง)"
282,"- Endorse (รับรอง)"
283,"- Not endorse (ไม่รับรอง)"
284,"- No vote (ไม่ประสงค์ลงคะเเนน)"
285,"- Endorse (รับรอง)"
286,"- Endorse (รับรอง)"
287,"- No vote (ไม่ประสงค์ลงคะเเนน)"
288,"- No vote (ไม่ประสงค์ลงคะเเนน)"
289,"- Endorse (รับรอง)"
290,"- No vote (ไม่ประสงค์ลงคะเเนน)"
291,"- Endorse (รับรอง)"
292,"- Endorse (รับรอง)"
293,"- Endorse (รับรอง)"
294,"- Endorse (รับรอง)"
295,"- No vote (ไม่ประสงค์ลงคะเเนน)"
296,"- No vote (ไม่ประสงค์ลงคะเเนน)"
297,"- No vote (ไม่ประสงค์ลงคะเเนน)"
298,"- Endorse (รับรอง)"
299,"- Endorse (รับรอง)"
300,"- Endorse (รับรอง)"
301,"- Endorse (รับรอง)"
302,"- No vote (ไม่ประสงค์ลงคะเเนน)"
303,"- Endorse (รับรอง)"
304,"- Not endorse (ไม่รับรอง)"
305,"- No vote (ไม่ประสงค์ลงคะเเนน)"
